ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,JobShopEarliTardi,BFS/TE_1_15x2.txt,,2902,BMS,2005,,3559,BMS,2005
BESTSOFAR,JobShopEarliTardi,BFS/TE_2_15x2.txt,,1253,BMS,2005,,1579,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_1_15x5.txt,,964,BMS,2005,,1663,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_2_15x5.txt,,1630,BMS,2005,,2989,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_1_15x10.txt,,4389,BMS,2005,,8381,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_2_15x10.txt,,3539,BMS,2005,,7039,BMS,2005,

BESTSOFAR,JobShopEarliTardi,BFS/LE_1_15x2.txt,,1014,BMS,2005,,1169,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LE_2_15x2.txt,,490,BMS,2005,,520,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LE_1_15x5.txt,,2449,BMS,2005,,4408,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LE_2_15x5.txt,,2818,BMS,2005,,4023,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LE_1_15x10.txt,,758,BMS,2005,,1109,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LE_2_15x10.txt,,1242,BMS,2005,,2256,BMS,2005,

BESTSOFAR,JobShopEarliTardi,BFS/TT_1_15x2.txt,,720,BMS,2005,,916,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TT_2_15x2.txt,,843,BMS,2005,,956,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TT_1_15x5.txt,,1008,BMS,2005,,1538,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TT_2_15x5.txt,,626,BMS,2005,,848,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TT_1_15x10.txt,,649,BMS,2005,,972,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TT_2_15x10.txt,,955,BMS,2005,,1656,BMS,2005,

BESTSOFAR,JobShopEarliTardi,BFS/LT_1_15x2.txt,,616,BMS,2005,,730,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LT_2_15x2.txt,,278,BMS,2005,,310,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LT_1_15x5.txt,,1098,BMS,2005,,1723,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LT_2_15x5.txt,,314,BMS,2005,,374,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LT_1_15x10.txt,,258,BMS,2005,,312,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/LT_2_15x10.txt,,476,BMS,2005,,936,BMS,2005,

BESTSOFAR,JobShopEarliTardi,BFS/TE_1_20x2.txt,,1747,BMS,2005,,2008,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_2_20x2.txt,,858,BMS,2005,,1014,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_1_20x5.txt,,2506,BMS,2005,,3090,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_2_20x5.txt,,4923,BMS,2005,,7537,BMS,2005,
BESTSOFAR,JobShopEarliTardi,BFS/TE_1_20x10.txt,,6656,BMS,2005,,12951,BMS,2005,
