ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,OpenShop,Taillard/tail20_20_1,,1155,OpenShop-LB,,,1155,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_2,,1241,OpenShop-LB,,,1241,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_3,,1257,OpenShop-LB,,,1257,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_4,,1248,OpenShop-LB,,,1248,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_5,,1256,OpenShop-LB,,,1256,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_6,,1204,OpenShop-LB,,,1204,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_7,,1294,OpenShop-LB,,,1294,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_8,,1169,OpenShop-LB,,,1169,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_9,,1289,OpenShop-LB,,,1289,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Taillard/tail20_20_10,,1241,OpenShop-LB,,,1241,Beam-ACO-OSS,2005,

BESTSOFAR,OpenShop,GueretPrins/gp10-01,,1093,Laborie2005,,,1093,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-02,,1097,Laborie2005,,,1097,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-03,,1081,Laborie2005,,,1081,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-04,,1077,Laborie2005,,,1077,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-05,,1071,Laborie2005,,,1071,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-06,,1071,Laborie2005,,,1071,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-07,,1079,Laborie2005,,,1079,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-08,,1093,Laborie2005,,,1093,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-09,,1112,Laborie2005,,,1112,Laborie2005,2005,
BESTSOFAR,OpenShop,GueretPrins/gp10-10,,1092,Laborie2005,,,1092,Laborie2005,2005,

BESTSOFAR,OpenShop,Brucker/j8-per0-1,,1018,Laborie2005,,,1039,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Brucker/j8-per0-2,,1052,Laborie2005,,,1052,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Brucker/j8-per10-0,,1017,Laborie2005,,,1017,Laborie2005,2005,
BESTSOFAR,OpenShop,Brucker/j8-per10-1,,1000,Laborie2005,,,1000,Laborie2005,2005,
BESTSOFAR,OpenShop,Brucker/j8-per10-2,,1000,Laborie2005,,,1009,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Brucker/j8-per20-0,,1000,Laborie2005,,,1000,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Brucker/j8-per20-1,,1000,Laborie2005,,,1000,Beam-ACO-OSS,2005,
BESTSOFAR,OpenShop,Brucker/j8-per20-2,,1000,Laborie2005,,,1000,Beam-ACO-OSS,2005,
