ILOG_CSV_FORMAT,1.1

GENERAL|NAMES,date,time,hostName,CPU,MHz,memory,search,comment,timeLimit,commandLine
GENERAL|KEYS,0,0,0,0,0,0,0,0,0,0
GENERAL,,,,,,,SchedulerLNS,,1.#INF,-search SchedulerLNS -result UnaryAlternativeTransitionTime.csv -scenarii c:\ilog\scheduler-papers\mista-2007\\scenarii\UnaryAlternativeTransitionTime\scenario.csv

RESULT|NAMES, modeler, instance, modelParams, time, numberOfSolutions, acceptable, lb, ub, completion, objectiveSense, runId
RESULT|KEYS, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps01.dat, , 6.13883, 3, 0, 433, 805, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps02.dat, , 6.01865, 2, 0, 434, 813, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps03.dat, , 32.8673, 8, 0, 359, 758, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps04.dat, , 6.01865, 2, 0, 399, 733, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps05.dat, , 227.087, 5, 0, 390, 700, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps06.dat, , 9.02297, 2, 0, 433, 1039, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps07.dat, , 13.8699, 14, 0, 416, 1013, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps08.dat, , 30.4738, 17, 0, 399, 990, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps09.dat, , 79.3541, 3, 0, 412, 1111, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps10.dat, , 16.4637, 11, 0, 463, 1053, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps11.dat, , 12.538, 4, 0, 483, 1522, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps12.dat, , 26.2277, 17, 0, 498, 1342, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps13.dat, , 12.0273, 2, 0, 462, 1500, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps14.dat, , 283.167, 8, 0, 463, 1522, 100, -1, 0
RESULT, UnaryAlternativeTransitionTime, jodata/t2-ps15.dat, , 330.625, 22, 0, 431, 1549, 100, -1, 0
