tour,start,end,startPos,endPos
1,236,290,0,5
1,309,333,5,5
1,352,376,5,5
1,395,419,5,5
1,438,462,5,5
1,476,500,5,5
1,514,538,5,5
1,552,576,5,5
1,590,614,5,5
1,628,652,5,5
1,666,690,5,5
1,704,728,5,5
1,742,766,5,5
1,780,804,5,5
1,818,874,5,0
2,243,280,0,4
2,285,322,4,6
2,325,373,6,3
2,390,411,3,4
2,416,453,4,6
2,456,494,6,0
3,248,279,0,5
3,305,357,5,5
3,383,435,5,5
3,461,513,5,5
3,539,591,5,5
3,617,669,5,5
3,695,747,5,5
3,773,825,5,5
3,851,903,5,5
3,929,981,5,5
3,1005,1057,5,5
3,1081,1110,5,6
3,1125,1154,6,6
3,1169,1198,6,6
3,1213,1242,6,6
3,1248,1277,6,6
3,1283,1312,6,6
3,1318,1347,6,6
3,1353,1399,6,5
3,1423,1443,5,0
4,285,319,0,8
4,354,394,8,8
4,429,469,8,8
4,504,544,8,8
4,579,606,8,5
4,615,642,5,5
4,655,682,5,5
4,695,722,5,5
4,735,762,5,5
4,775,802,5,5
4,828,877,5,7
4,897,946,7,7
4,966,1015,7,7
4,1035,1084,7,7
4,1104,1133,7,2
4,1143,1172,2,2
4,1182,1230,2,0
5,297,338,0,7
5,354,403,7,6
5,433,453,6,0
6,315,363,0,2
6,389,427,2,6
6,430,457,6,6
6,469,502,6,2
6,528,566,2,6
6,569,596,6,6
6,608,641,6,2
6,667,705,2,6
6,708,735,6,6
6,747,780,6,2
6,806,844,2,6
6,847,874,6,6
6,886,919,6,2
6,945,983,2,6
6,986,1013,6,6
6,1025,1058,6,2
6,1084,1122,2,6
6,1125,1184,6,4
6,1202,1230,4,0
7,326,383,0,9
7,400,443,9,9
7,460,516,9,0
8,327,353,0,5
8,364,398,5,9
8,426,478,9,5
8,489,523,5,9
8,551,603,9,5
8,614,648,5,9
8,676,728,9,4
8,741,775,4,9
8,803,855,9,4
8,868,902,4,9
8,930,982,9,4
8,995,1029,4,9
8,1057,1109,9,4
8,1122,1156,4,9
8,1184,1236,9,4
8,1249,1283,4,9
8,1311,1357,9,0
9,327,353,0,5
9,370,406,5,3
9,411,470,3,8
9,490,535,8,8
9,570,606,8,3
9,611,670,3,8
9,690,735,8,8
9,770,806,8,3
9,811,870,3,8
9,890,935,8,8
9,970,1006,8,3
9,1011,1070,3,8
9,1091,1118,8,1
9,1123,1159,1,3
9,1164,1223,3,8
9,1244,1271,8,1
9,1286,1322,1,3
9,1327,1386,3,8
9,1407,1435,8,0
10,328,365,0,3
10,391,441,3,7
10,458,502,7,0
11,333,377,0,2
11,389,432,2,6
11,435,484,6,6
11,519,562,6,6
11,565,614,6,6
11,649,692,6,6
11,695,744,6,6
11,779,822,6,6
11,825,874,6,6
11,909,952,6,6
11,955,1004,6,6
11,1039,1082,6,6
11,1085,1134,6,6
11,1169,1212,6,6
11,1215,1259,6,0
12,333,375,0,1
12,395,419,1,5
12,441,480,5,0
13,340,373,0,8
13,384,412,8,1
13,419,453,1,7
13,459,495,7,8
13,506,534,8,1
13,541,562,1,6
13,596,632,6,8
13,643,671,8,1
13,678,699,1,6
13,733,769,6,8
13,780,808,8,1
13,815,836,1,6
13,870,906,6,8
13,926,954,8,1
13,961,982,1,6
13,1016,1052,6,8
13,1072,1100,8,1
13,1107,1166,1,0
14,343,395,0,7
14,430,482,7,0
15,352,385,0,5
15,403,429,5,4
15,450,492,4,0
16,352,392,0,3
16,412,449,3,6
16,473,510,6,1
16,517,554,1,6
16,578,615,6,1
16,622,659,1,6
16,683,720,6,1
16,727,764,1,6
16,788,825,6,1
16,832,869,1,6
16,893,930,6,1
16,937,985,1,5
16,993,1020,5,7
16,1054,1102,7,5
16,1110,1137,5,7
16,1171,1218,7,0
17,353,411,0,5
17,439,494,5,0
18,355,405,0,6
18,427,483,6,6
18,508,564,6,6
18,589,645,6,6
18,670,726,6,6
18,751,807,6,6
18,832,888,6,6
18,913,969,6,6
18,994,1050,6,6
18,1075,1131,6,6
18,1156,1210,6,0
19,355,401,0,4
19,436,464,4,6
19,499,551,6,4
19,561,617,4,4
19,652,680,4,6
19,715,737,6,6
19,745,801,6,4
19,836,864,4,6
19,899,921,6,6
19,929,985,6,4
19,1020,1048,4,6
19,1083,1105,6,6
19,1113,1169,6,4
19,1204,1232,4,6
19,1267,1325,6,0
20,357,380,0,8
20,401,425,8,8
20,446,474,8,5
20,502,530,5,5
20,558,586,5,5
20,614,642,5,5
20,673,711,5,7
20,716,754,7,7
20,759,797,7,7
20,814,852,7,7
20,869,907,7,7
20,927,965,7,7
20,985,1023,7,7
20,1043,1081,7,7
20,1101,1139,7,7
20,1159,1197,7,7
20,1217,1255,7,7
20,1275,1308,7,0
21,357,382,0,1
21,406,451,1,0
22,357,417,0,8
22,428,460,8,8
22,471,529,8,2
22,545,603,2,2
22,619,677,2,2
22,693,751,2,2
22,767,825,2,2
22,841,899,2,2
22,915,960,2,6
22,982,1027,6,6
22,1049,1094,6,6
22,1116,1161,6,6
22,1183,1203,6,0
23,360,407,0,4
23,435,486,4,4
23,514,565,4,4
23,593,644,4,4
23,672,723,4,4
23,751,802,4,4
23,830,881,4,4
23,909,968,4,2
23,998,1057,2,2
23,1087,1146,2,2
23,1176,1235,2,2
23,1265,1310,2,0
24,360,382,0,6
