ILOG_CSV_FORMAT,1,,,


RESOURCE|NAMES,RESOURCE_ID,NAME,CAPACITY,TIME_ORIGIN
RESOURCE|KEYS,1,0,0,0
RESOURCE|TYPES,int,string,int,int
RESOURCE,0,ChocolateGrinder0,1,21600
RESOURCE,1,ChocolateMixer0,1,21600
RESOURCE,2,NutGrinder0,1,21600
RESOURCE,3,FillingMixer0,1,21600
RESOURCE,4,Molder0,1,21600
RESOURCE,5,ChocolateGrinder1,1,21600
RESOURCE,6,ChocolateMixer1,1,21600
RESOURCE,7,NutGrinder1,1,21600
RESOURCE,8,FillingMixer1,1,21600
RESOURCE,9,Molder1,1,21600

RESOURCE_SETUP|NAMES,RESOURCE_ID,INITIAL_SETUP,FINAL_SETUP,MATRIX_ID,
RESOURCE_SETUP|KEYS,1,0,0,0,
RESOURCE_SETUP|TYPES,int,int,int,int,
RESOURCE_SETUP,1,0,-1,0,
RESOURCE_SETUP,2,1,-1,1,
RESOURCE_SETUP,3,1,-1,1,
RESOURCE_SETUP,4,6,-1,2,
RESOURCE_SETUP,6,0,-1,0,
RESOURCE_SETUP,7,0,-1,1,
RESOURCE_SETUP,8,0,-1,1,
RESOURCE_SETUP,9,0,-1,2,

SETUP|NAMES,MATRIX_ID,FROM,TO,TIME,COST
SETUP|TYPES,int,int,int,int,int
SETUP,0,0,0,0,0
SETUP,0,0,1,0,0
SETUP,0,1,0,7200,36000
SETUP,0,1,1,0,0
SETUP,1,0,0,0,0
SETUP,1,0,1,3600,18000
SETUP,1,1,0,3600,18000
SETUP,1,1,1,0,0
SETUP,2,0,0,0,0
SETUP,2,0,1,6000,45000
SETUP,2,0,2,6000,45000
SETUP,2,0,3,3600,18000
SETUP,2,0,4,8400,63000
SETUP,2,0,5,8400,63000
SETUP,2,0,6,4800,24000
SETUP,2,0,7,9600,69000
SETUP,2,0,8,9600,69000
SETUP,2,0,9,0,0
SETUP,2,0,10,6000,45000
SETUP,2,0,11,6000,45000
SETUP,2,0,12,3600,18000
SETUP,2,0,13,8400,63000
SETUP,2,0,14,8400,63000
SETUP,2,0,15,4800,24000
SETUP,2,0,16,9600,69000
SETUP,2,0,17,9600,69000
SETUP,2,1,0,6000,45000
SETUP,2,1,1,0,0
SETUP,2,1,2,6000,45000
SETUP,2,1,3,8400,63000
SETUP,2,1,4,3600,18000
SETUP,2,1,5,8400,63000
SETUP,2,1,6,9600,69000
SETUP,2,1,7,4800,24000
SETUP,2,1,8,9600,69000
SETUP,2,1,9,6000,45000
SETUP,2,1,10,0,0
SETUP,2,1,11,6000,45000
SETUP,2,1,12,8400,63000
SETUP,2,1,13,3600,18000
SETUP,2,1,14,8400,63000
SETUP,2,1,15,9600,69000
SETUP,2,1,16,4800,24000
SETUP,2,1,17,9600,69000
SETUP,2,2,0,6000,45000
SETUP,2,2,1,6000,45000
SETUP,2,2,2,0,0
SETUP,2,2,3,8400,63000
SETUP,2,2,4,8400,63000
SETUP,2,2,5,3600,18000
SETUP,2,2,6,9600,69000
SETUP,2,2,7,9600,69000
SETUP,2,2,8,4800,24000
SETUP,2,2,9,6000,45000
SETUP,2,2,10,6000,45000
SETUP,2,2,11,0,0
SETUP,2,2,12,8400,63000
SETUP,2,2,13,8400,63000
SETUP,2,2,14,3600,18000
SETUP,2,2,15,9600,69000
SETUP,2,2,16,9600,69000
SETUP,2,2,17,4800,24000
SETUP,2,3,0,3600,18000
SETUP,2,3,1,8400,63000
SETUP,2,3,2,8400,63000
SETUP,2,3,3,0,0
SETUP,2,3,4,6000,45000
SETUP,2,3,5,6000,45000
SETUP,2,3,6,4800,24000
SETUP,2,3,7,9600,69000
SETUP,2,3,8,9600,69000
SETUP,2,3,9,3600,18000
SETUP,2,3,10,8400,63000
SETUP,2,3,11,8400,63000
SETUP,2,3,12,0,0
SETUP,2,3,13,6000,45000
SETUP,2,3,14,6000,45000
SETUP,2,3,15,4800,24000
SETUP,2,3,16,9600,69000
SETUP,2,3,17,9600,69000
SETUP,2,4,0,8400,63000
SETUP,2,4,1,3600,18000
SETUP,2,4,2,8400,63000
SETUP,2,4,3,6000,45000
SETUP,2,4,4,0,0
SETUP,2,4,5,6000,45000
SETUP,2,4,6,9600,69000
SETUP,2,4,7,4800,24000
SETUP,2,4,8,9600,69000
SETUP,2,4,9,8400,63000
SETUP,2,4,10,3600,18000
SETUP,2,4,11,8400,63000
SETUP,2,4,12,6000,45000
SETUP,2,4,13,0,0
SETUP,2,4,14,6000,45000
SETUP,2,4,15,9600,69000
SETUP,2,4,16,4800,24000
SETUP,2,4,17,9600,69000
SETUP,2,5,0,8400,63000
SETUP,2,5,1,8400,63000
SETUP,2,5,2,3600,18000
SETUP,2,5,3,6000,45000
SETUP,2,5,4,6000,45000
SETUP,2,5,5,0,0
SETUP,2,5,6,9600,69000
SETUP,2,5,7,9600,69000
SETUP,2,5,8,4800,24000
SETUP,2,5,9,8400,63000
SETUP,2,5,10,8400,63000
SETUP,2,5,11,3600,18000
SETUP,2,5,12,6000,45000
SETUP,2,5,13,6000,45000
SETUP,2,5,14,0,0
SETUP,2,5,15,9600,69000
SETUP,2,5,16,9600,69000
SETUP,2,5,17,4800,24000
SETUP,2,6,0,0,0
SETUP,2,6,1,6000,45000
SETUP,2,6,2,6000,45000
SETUP,2,6,3,0,0
SETUP,2,6,4,6000,45000
SETUP,2,6,5,6000,45000
SETUP,2,6,6,0,0
SETUP,2,6,7,6000,45000
SETUP,2,6,8,6000,45000
SETUP,2,6,9,0,0
SETUP,2,6,10,6000,45000
SETUP,2,6,11,6000,45000
SETUP,2,6,12,0,0
SETUP,2,6,13,6000,45000
SETUP,2,6,14,6000,45000
SETUP,2,6,15,0,0
SETUP,2,6,16,6000,45000
SETUP,2,6,17,6000,45000
SETUP,2,7,0,6000,45000
SETUP,2,7,1,0,0
SETUP,2,7,2,6000,45000
SETUP,2,7,3,6000,45000
SETUP,2,7,4,0,0
SETUP,2,7,5,6000,45000
SETUP,2,7,6,6000,45000
SETUP,2,7,7,0,0
SETUP,2,7,8,6000,45000
SETUP,2,7,9,6000,45000
SETUP,2,7,10,0,0
SETUP,2,7,11,6000,45000
SETUP,2,7,12,6000,45000
SETUP,2,7,13,0,0
SETUP,2,7,14,6000,45000
