# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 184.964
* 0.172 45741
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 45741
# NUMBER OF BRANCHES: 920
# END TIME: 185.136
## Solution: 
100
32 0
157 254
53 593
63 858
65 1196
40 1510
44 1836
52 2161
127 2552
43 2943
229 3076
242 3376
243 3530
123 4096
120 4793
86 5209
216 5943
30 6131
218 6488
252 6882
251 7318
253 7797
102 8514
89 9292
105 9686
87 9861
55 10314
99 10671
92 10972
60 11541
64 11974
228 12323
232 12808
51 13387
41 13688
199 14160
100 14596
101 15161
96 15496
35 16487
167 17627
146 18081
192 18520
145 18784
83 19303
75 19575
214 19901
70 20374
168 20896
130 21199
72 21728
206 21929
78 22163
204 22453
73 22587
211 22769
202 23216
169 24118
176 24304
172 24598
178 24779
193 25005
11 25349
173 25502
226 26547
68 26842
132 27091
209 27490
22 28109
244 28384
21 28588
236 28874
246 29278
245 29585
197 30097
10 31542
5 31700
16 32007
2 32433
1 32586
12 32985
14 33259
114 33438
4 33667
8 34194
9 34432
250 34663
115 35284
3 35750
113 36118
194 36589
15 37226
111 37531
247 38049
17 38754
190 40353
26 42089
196 42885
201 44102
241 44886
# BEST TD SOLUTION: 45741
