# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_7_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 231.497
* 0.218 52052 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 52052
# NUMBER OF BRANCHES: 1010
# END TIME: 231.715
## Solution: 
100
246 0
21 225
233 569
245 945
200 1094
217 1569
216 1968
30 2309
220 2622
252 2965
254 3864
22 4496
118 5042
26 5603
39 6812
60 7312
248 7627
228 8231
50 9199
51 9631
88 10484
234 10975
242 11937
49 12295
37 12708
121 12907
65 13105
166 13427
32 13601
148 13736
187 14096
149 14406
155 14579
54 15018
63 15189
24 15487
34 15801
85 16037
210 16228
81 16542
131 16885
130 17256
84 17634
78 17924
204 18268
202 18589
82 18715
72 18969
73 19181
211 19505
209 19866
235 20151
68 20520
66 20832
222 21215
168 21838
27 22518
122 23109
156 23679
142 23894
164 24214
186 25001
173 25188
7 26089
112 26334
12 26662
6 26744
1 27073
106 27323
177 27839
23 29149
93 29815
117 30416
198 31017
249 31423
201 31944
136 32980
8 33615
115 33871
3 34368
161 35356
212 35833
175 36338
176 36864
185 37466
144 38415
154 38683
152 39365
167 39965
124 41058
111 44155
17 44611
15 45094
238 46573
91 47165
96 47565
109 48971
184 49784
180 50315
18 50898
# BEST TD SOLUTION: 52052
