# INSTANCE: InstancesTDTSP/NewTWinstances/inst_20_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 6000
# EXTRACTION TIME: 0.733
* 0 47512
* 0 21576
* 0.016 16238
* 0.608 16167
* 0.624 16092
* 0.889 16060
* 0.889 16018
* 1.263 15983
* 1.263 15886
* 1.56 15829
* 1.591 15811
* 1.622 15693
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 15693
# NUMBER OF BRANCHES: 65281
# END TIME: 4.323
## Solution: 
20
60 0
228 664
50 1216
100 1965
105 2827
55 3554
135 3880
48 4257
123 4683
231 5181
142 5850
153 6536
216 7855
23 8390
89 9197
91 9593
134 10213
196 11386
4 13168
182 14266
# BEST TD SOLUTION: 15693
