# INSTANCE: InstancesTDTSP/NewTWinstances/inst_20_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 6000
# EXTRACTION TIME: 0.75
* 0.002 48450
* 0.012 13176
* 0.321 13006
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 13006
# NUMBER OF BRANCHES: 43842
# END TIME: 3.386
## Solution: 
20
244 0
217 410
254 636
86 825
157 1253
46 1624
243 2054
248 2568
199 3909
98 4681
58 6082
146 7010
162 7198
145 7694
186 8324
182 8786
169 9123
113 10139
0 10791
84 12108
# BEST TD SOLUTION: 13006
