# INSTANCE: InstancesTDTSP/NewTWinstances/inst_50_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 14.889
* 0.009 49246 -1

* 0.013 47709
* 0.037 30603
* 0.046 30141
* 0.061 30078
* 0.075 30053
* 0.157 30016
* 0.261 29993
* 0.345 29904
* 0.39 29899
* 0.424 27216
* 0.536 27162
* 0.558 27146
* 0.661 27095
* 0.869 27093
* 0.884 26976
* 0.936 26576
* 0.98 26549
* 0.996 26392
* 1.038 26390
* 1.162 26264
* 8.109 26212
* 10.307 26206
* 10.326 26200
* 15.857 26193
* 15.947 26158
* 15.963 26143
* 15.97 26115
* 18.353 26067
* 37.035 26003
* 37.121 25990
* 37.128 25930
* 77.319 25696
* 77.445 25595
* 77.718 25565
* 77.865 25541
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 25541
# NUMBER OF BRANCHES: 2675979
# END TIME: 314.892
## Solution: 
50
102 0
20 526
29 909
236 1319
217 1881
254 2170
86 2459
63 2885
54 3148
53 3424
149 3836
168 4417
11 5160
131 5902
75 6186
85 6459
70 6973
82 7293
205 7659
76 8089
129 8605
65 9224
43 9472
230 9863
42 10399
19 10940
36 11537
64 11932
232 12159
133 12836
97 13369
89 13874
91 14398
101 14846
98 15362
199 15943
50 16539
163 17937
188 18206
170 19037
113 19793
3 20064
106 20437
239 20798
14 21333
108 21678
4 22156
138 22759
115 23452
68 24381
# BEST TD SOLUTION: 25541
