50 0
68 97 0
128 173 0
114 209 0
203 62 0
188 250 0
220 206 0
130 202 0
249 156 0
164 216 0
60 60 0
139 86 0
224 196 0
218 169 0
151 272 0
119 171 0
72 183 0
101 106 0
62 126 0
112 249 0
205 115 0
177 144 0
125 156 0
31 176 0
172 74 0
35 135 0
80 212 0
39 211 0
19 243 0
206 265 0
129 199 0
199 220 0
157 207 0
168 65 0
23 149 0
143 143 0
10 271 0
41 288 0
148 299 0
152 227 0
12 245 0
84 96 0
122 172 0
69 190 0
237 72 0
245 184 0
104 227 0
14 129 0
178 203 0
131 239 0
116 199 0
