# INSTANCE: InstancesTDTSP/NewTWinstances/inst_50_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
# EXTRACTION TIME: 18.715
* 0.01 23859
* 0.017 23365
* 0.073 23285
* 0.443 22775
* 0.555 22772
* 0.65 22768
* 7.332 22665
* 43.779 22655
* 43.873 22638
* 43.901 22608
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 22608
# NUMBER OF BRANCHES: 665150
# END TIME: 318.719
## Solution: 
50
206 0
202 333
222 690
66 1172
69 1431
34 1974
53 2225
74 2754
83 3185
86 3965
47 4416
122 4706
43 5157
229 5448
39 5888
231 6187
56 6714
60 7106
59 7905
33 8828
199 9899
96 10554
98 11281
89 11896
220 12546
216 12977
237 13315
21 13585
236 13701
201 14016
29 14380
200 14755
129 15369
163 15855
164 15984
165 16264
162 16631
192 16893
143 17349
212 17758
172 18276
225 18786
18 19058
3 19355
6 19730
4 19911
1 20089
115 20449
107 20851
109 21472
# BEST TD SOLUTION: 22608
