50 0
227 149 0
174 197 0
172 236 0
123 63 0
17 147 0
254 196 0
21 267 0
84 279 0
12 78 0
215 277 0
218 89 0
16 165 0
207 168 0
208 265 0
164 247 0
46 281 0
177 161 0
10 221 0
29 144 0
81 273 0
23 192 0
37 125 0
85 287 0
106 173 0
60 68 0
184 201 0
101 81 0
248 131 0
144 187 0
151 106 0
50 108 0
91 212 0
199 130 0
9 262 0
0 256 0
49 78 0
153 62 0
251 114 0
43 109 0
149 291 0
150 187 0
230 104 0
105 86 0
70 170 0
32 179 0
38 218 0
97 85 0
39 181 0
94 129 0
58 149 0
