# EXTRACTION TIME: 0.047
* 0 1037
* 0 1036
* 0 969
* 0.031 959
* 0.031 949
* 0.078 944
* 0.078 943
* 0.078 942
* 0.094 939
* 0.094 932
* 0.094 923
* 0.109 914
* 0.109 909
* 0.125 899
* 2.434 897
* 2.434 895
* 4.056 894
* 4.633 891
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 891
# NUMBER OF BRANCHES: 1309793
# END TIME: 59.124
## Solution: 
20
0 0
8 288
4 308
16 336
2 365
7 386
19 410
12 434
9 455
3 479
13 502
6 524
5 542
14 577
10 597
11 617
18 658
1 680
15 698
17 719
20 765
# BEST TD SOLUTION: 891
