# EXTRACTION TIME: 0.062
* 0 996
* 0.016 977
* 0.016 974
* 0.109 965
* 0.125 964
* 0.125 961
* 0.125 945
* 0.125 929
* 0.125 915
* 0.125 911
* 0.125 901
* 0.125 876
* 0.141 863
* 0.141 856
* 0.157 854
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 854
# NUMBER OF BRANCHES: 401503
# END TIME: 21.341
## Solution: 
20
0 0
20 247
10 267
18 284
4 321
6 345
14 370
9 420
16 469
19 495
15 517
7 557
17 571
13 581
2 604
11 623
8 651
1 678
12 706
5 735
3 761
# BEST TD SOLUTION: 854
