# EXTRACTION TIME: 0.062
* 0.016 935
* 0.016 921
* 0.031 916
* 0.047 872
* 0.062 871
* 0.296 853
* 0.296 842
* 0.312 833
* 0.312 830
* 0.343 826
* 3.245 818
* 3.245 817
* 6.224 816
* 6.443 812
* 6.505 811
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 811
# NUMBER OF BRANCHES: 420618
# END TIME: 23.68
## Solution: 
20
0 0
20 252
10 272
18 289
9 328
6 354
4 378
14 427
16 474
19 494
15 511
7 541
17 555
13 565
2 588
11 607
8 635
1 655
12 676
5 698
3 718
# BEST TD SOLUTION: 811
