# EXTRACTION TIME: 0.108
* 0.001 1288
* 0.007 1170
* 0.011 1153
* 0.015 1145
* 0.044 1140
* 0.054 1126
* 0.065 1122
* 0.076 1120
* 0.131 1118
* 0.147 1116
* 0.16 1101
* 0.164 1098
* 0.173 1083
* 0.179 1080
* 0.476 1079
* 5.827 1078
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1078
# NUMBER OF BRANCHES: 425511
# END TIME: 30.11
## Solution: 
25
0 0
1 208
3 239
18 312
8 359
5 436
22 472
14 496
11 530
2 565
25 629
19 692
7 705
23 728
15 740
17 759
10 770
13 784
6 807
21 832
16 860
4 900
24 923
20 942
12 958
9 994
# BEST TD SOLUTION: 1078
