# EXTRACTION TIME: 0.185
* 0.003 1268
* 0.005 1264
* 0.019 1248
* 0.027 1245
* 0.031 1238
* 0.04 1206
* 0.061 1200
* 0.156 1199
* 0.202 1181
* 0.229 1150
* 0.247 1147
* 0.252 1140
* 0.298 1137
* 0.35 1130
* 0.426 1127
* 3.112 1115
* 4.309 1114
* 4.773 1113
* 6.001 1106
* 6.809 1087
* 6.849 1079
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1079
# NUMBER OF BRANCHES: 643776
# END TIME: 30.188
## Solution: 
30
0 0
27 245
25 272
14 282
16 299
21 318
7 347
9 363
1 402
29 424
12 464
10 478
18 511
5 529
22 554
6 569
8 591
17 641
20 700
24 765
11 793
4 811
23 829
13 846
19 871
30 889
26 906
2 931
28 962
15 976
3 988
# BEST TD SOLUTION: 1079
