# EXTRACTION TIME: 0.176
* 0.004 1285
* 0.017 1258
* 0.023 1243
* 0.03 1239
* 0.045 1236
* 0.075 1234
* 0.11 1233
* 0.117 1232
* 0.121 1231
* 0.129 1222
* 0.139 1205
* 0.15 1191
* 0.153 1177
* 0.166 1148
* 0.218 1147
* 4.213 1144
* 4.801 1134
* 4.831 1133
* 4.835 1132
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1132
# NUMBER OF BRANCHES: 785096
# END TIME: 30.18
## Solution: 
30
0 0
21 233
25 300
9 337
4 353
11 381
23 420
24 476
18 503
16 524
14 547
6 571
27 601
29 611
5 631
22 652
1 669
12 686
10 695
30 707
8 749
13 795
26 832
20 871
3 922
19 930
7 947
28 992
15 1005
2 1026
17 1037
# BEST TD SOLUTION: 1132
