# EXTRACTION TIME: 0.182
* 0.002 1424
* 0.009 1385
* 0.013 1283
* 0.018 1274
* 0.023 1268
* 0.028 1258
* 0.045 1254
* 0.113 1235
* 0.12 1230
* 3.459 1227
* 3.464 1226
* 9.614 1225
* 9.647 1224
* 27.133 1223
* 27.181 1219
* 27.571 1216
* 27.682 1215
* 27.881 1214
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1214
# NUMBER OF BRANCHES: 719547
# END TIME: 30.186
## Solution: 
30
0 0
10 225
17 263
27 297
22 367
4 378
13 389
23 429
11 464
8 492
15 517
1 567
28 612
2 632
9 650
24 691
20 713
29 745
30 784
7 857
5 866
14 885
19 914
21 933
18 954
6 972
12 996
25 1042
16 1062
26 1077
3 1093
# BEST TD SOLUTION: 1214
