# EXTRACTION TIME: 0.192
* 0.002 1612
* 0.01 1607
* 0.014 1606
* 0.094 1599
* 0.099 1584
* 0.105 1580
* 0.115 1561
* 0.117 1544
* 0.122 1505
* 0.131 1504
* 0.149 1498
* 0.175 1444
* 0.185 1438
* 0.187 1419
* 0.198 1414
* 0.215 1405
* 0.24 1401
* 0.261 1378
* 0.288 1374
* 1.006 1373
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1373
# NUMBER OF BRANCHES: 688078
# END TIME: 30.197
## Solution: 
30
0 0
28 297
3 310
1 328
10 370
16 413
27 459
30 496
29 541
24 574
15 603
12 653
8 700
14 744
21 766
13 825
4 889
18 926
26 951
2 971
20 1004
5 1030
25 1056
17 1074
23 1097
9 1118
22 1169
19 1205
7 1231
11 1291
6 1308
# BEST TD SOLUTION: 1373
