# EXTRACTION TIME: 0.278
* 0.003 961
* 0.015 914
* 0.043 905
* 0.112 904
* 0.115 902
* 0.128 901
* 0.132 896
* 0.151 893
* 0.167 885
* 0.172 884
* 0.176 883
* 0.198 879
* 0.2 867
* 0.222 866
* 0.229 850
* 0.254 843
* 0.272 838
* 0.859 835
* 0.936 818
* 0.956 814
* 0.961 790
* 4.962 784
* 7.392 783
* 7.397 777
* 7.887 774
* 8.167 773
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 773
# NUMBER OF BRANCHES: 672029
# END TIME: 30.283
## Solution: 
35
0 0
34 31
17 51
24 84
13 108
15 129
23 172
30 189
7 211
5 235
2 258
4 285
27 307
16 350
10 361
26 389
3 406
22 419
33 436
31 445
8 463
20 501
29 515
6 536
11 547
21 569
9 584
18 609
28 626
1 647
14 670
19 688
25 704
12 720
32 735
35 754
# BEST TD SOLUTION: 773
