# EXTRACTION TIME: 0.33
* 0.003 1259
* 0.005 1256
* 0.008 1251
* 0.01 1250
* 0.066 1243
* 0.069 1210
* 0.139 1205
* 0.143 1198
* 0.169 1197
* 0.228 1190
* 0.39 1186
* 0.423 1184
* 0.507 1180
* 6.521 1172
* 6.656 1170
* 10.647 1169
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1169
# NUMBER OF BRANCHES: 571984
# END TIME: 30.338
## Solution: 
35
0 0
23 52
8 85
13 117
3 150
22 180
28 218
1 248
32 297
17 388
26 432
24 461
9 509
15 558
21 588
33 599
16 651
25 685
19 728
10 744
5 764
4 801
27 825
14 857
29 867
2 899
12 916
31 949
35 967
6 999
11 1034
20 1051
34 1084
30 1101
7 1123
18 1149
# BEST TD SOLUTION: 1169
