# EXTRACTION TIME: 0.259
* 0.002 1212
* 0.003 1205
* 0.004 1203
* 0.006 1202
* 0.008 1201
* 0.029 1194
* 0.053 1173
* 0.062 1160
* 0.072 1156
* 0.133 1132
* 0.142 1127
* 0.151 1126
* 0.162 1112
* 0.2 1099
* 0.206 1095
* 0.222 1082
* 0.865 1074
* 0.902 1058
* 0.975 1038
* 0.995 1035
* 1.033 1034
* 1.068 1025
* 1.077 1024
* 1.188 1021
* 4.236 1018
* 4.473 1016
* 6.458 1015
* 6.46 1009
* 6.565 1005
* 6.868 1003
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1003
# NUMBER OF BRANCHES: 471149
# END TIME: 30.268
## Solution: 
35
0 0
33 29
10 50
30 88
12 111
7 131
9 148
6 206
1 247
18 285
15 326
34 347
23 370
24 401
25 437
19 475
28 494
11 535
26 555
20 580
5 600
8 639
35 669
4 678
17 691
3 722
29 748
32 792
31 801
2 812
14 826
13 857
16 879
27 934
21 946
22 967
# BEST TD SOLUTION: 1003
