# EXTRACTION TIME: 0.323
* 0.003 1251
* 0.006 1246
* 0.008 1245
* 0.022 1243
* 0.032 1241
* 0.036 1236
* 0.055 1214
* 0.065 1200
* 0.161 1183
* 0.195 1166
* 0.208 1158
* 0.225 1146
* 0.312 1145
* 0.381 1132
* 0.427 1125
* 0.428 1120
* 0.44 1117
* 0.539 1107
* 0.666 1100
* 0.773 1095
* 0.796 1094
* 0.877 1091
* 0.948 1090
* 1.011 1087
* 1.034 1078
* 4.589 1076
* 4.901 1075
* 5.753 1072
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1072
# NUMBER OF BRANCHES: 615849
# END TIME: 30.329
## Solution: 
35
0 0
30 57
12 85
7 110
9 127
6 200
1 251
18 298
15 350
34 371
23 394
24 433
28 468
11 519
25 541
19 574
26 590
20 615
5 635
8 674
35 704
4 713
17 726
3 757
29 783
32 827
31 836
2 847
14 861
13 892
16 914
27 969
21 981
22 1002
10 1031
33 1048
# BEST TD SOLUTION: 1072
