# EXTRACTION TIME: 0.335
* 0.003 1353
* 0.006 1328
* 0.046 1322
* 0.147 1309
* 0.182 1283
* 0.208 1281
* 0.221 1280
* 0.243 1275
* 0.267 1261
* 0.338 1260
* 0.393 1259
* 0.422 1254
* 1.227 1253
* 1.292 1251
* 1.304 1243
* 1.383 1239
* 1.405 1237
* 1.411 1233
* 1.494 1229
* 1.522 1227
* 1.661 1226
* 1.761 1225
* 1.814 1224
* 7.205 1222
* 7.972 1220
* 8.002 1218
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1218
# NUMBER OF BRANCHES: 447260
# END TIME: 30.345
## Solution: 
40
0 0
31 251
21 272
35 293
8 328
23 361
19 395
10 437
38 462
14 480
30 511
25 533
33 564
17 585
27 610
12 629
7 650
40 672
37 695
9 713
22 733
20 752
26 778
11 801
34 815
18 832
39 841
28 860
3 869
16 884
1 902
15 924
24 947
5 957
6 986
29 1013
32 1032
13 1055
2 1074
4 1107
36 1125
# BEST TD SOLUTION: 1218
