# EXTRACTION TIME: 0.346
* 0.004 1299
* 0.01 1275
* 0.02 1243
* 0.105 1241
* 0.152 1237
* 0.27 1236
* 0.279 1235
* 0.32 1233
* 0.34 1224
* 0.353 1223
* 0.361 1222
* 0.372 1220
* 0.423 1216
* 5.271 1210
* 6.103 1206
* 17.234 1202
* 17.43 1201
* 20.784 1200
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1200
# NUMBER OF BRANCHES: 349061
# END TIME: 30.355
## Solution: 
40
0 0
21 206
39 251
23 270
12 297
25 335
5 356
32 382
3 405
28 427
20 456
1 481
11 508
24 529
2 557
40 577
35 602
31 620
33 643
7 667
8 692
6 709
27 736
16 744
19 760
10 780
30 807
13 837
22 855
4 875
38 905
14 927
18 945
26 979
34 1004
36 1025
37 1040
9 1055
15 1095
29 1107
17 1116
# BEST TD SOLUTION: 1200
