# EXTRACTION TIME: 0.484
* 0.003 1660
* 0.005 1551
* 0.181 1545
* 0.389 1544
* 0.458 1543
* 0.478 1538
* 0.519 1526
* 0.542 1525
* 0.728 1524
* 1.894 1519
* 2.119 1517
* 2.137 1515
* 2.145 1509
* 2.19 1497
* 2.504 1494
* 2.624 1493
* 18.839 1492
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1492
# NUMBER OF BRANCHES: 364639
# END TIME: 30.494
## Solution: 
40
0 0
21 244
4 371
35 529
36 541
12 554
27 589
10 630
6 663
26 700
8 735
31 756
15 778
20 800
13 827
28 853
34 883
24 905
2 926
37 946
25 977
11 998
29 1062
5 1094
3 1108
1 1117
9 1145
30 1162
23 1186
32 1207
18 1233
14 1266
38 1286
7 1316
39 1334
22 1347
17 1362
40 1373
16 1384
33 1401
19 1410
# BEST TD SOLUTION: 1492
