# EXTRACTION TIME: 0.379
* 0.003 1439
* 0.019 1346
* 0.07 1334
* 0.247 1329
* 0.342 1315
* 0.37 1310
* 0.404 1305
* 0.447 1302
* 0.571 1298
* 0.579 1297
* 0.617 1296
* 0.619 1289
* 0.677 1286
* 0.757 1284
* 1.689 1278
* 7.632 1277
* 8.131 1268
* 8.135 1261
* 8.93 1260
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1260
# NUMBER OF BRANCHES: 378703
# END TIME: 30.386
## Solution: 
40
0 0
13 284
29 312
36 334
31 361
18 396
7 420
24 453
22 479
1 501
26 540
11 563
6 588
19 613
21 638
27 656
33 673
20 685
39 695
10 706
15 723
12 730
9 746
16 769
4 786
2 812
38 834
14 851
37 882
25 901
23 939
28 950
34 993
5 1014
3 1035
17 1055
35 1077
30 1117
40 1126
32 1142
8 1164
# BEST TD SOLUTION: 1260
