# EXTRACTION TIME: 0.383
* 0.003 1994
* 0.014 1886
* 0.019 1865
* 0.053 1855
* 0.062 1820
* 0.17 1808
* 0.175 1807
* 0.196 1806
* 0.232 1794
* 0.283 1789
* 0.304 1787
* 0.335 1784
* 0.39 1780
* 0.409 1778
* 0.413 1771
* 0.436 1758
* 0.445 1756
* 0.459 1747
* 0.631 1746
* 0.722 1743
* 0.725 1737
* 0.728 1735
* 0.784 1731
* 0.788 1726
* 0.804 1716
* 0.825 1706
* 0.901 1703
* 0.908 1698
* 1.07 1693
* 1.291 1692
* 10.361 1689
* 16.998 1688
* 19.399 1686
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1686
# NUMBER OF BRANCHES: 404230
# END TIME: 30.396
## Solution: 
40
0 0
13 166
28 237
24 258
25 275
22 292
36 320
39 350
26 398
40 430
38 457
19 505
35 528
32 557
16 583
33 603
29 629
11 685
27 727
12 756
4 812
23 894
37 968
18 1018
10 1060
21 1089
9 1154
14 1170
31 1181
6 1205
2 1230
34 1264
15 1276
8 1334
17 1358
3 1377
7 1404
1 1432
30 1479
20 1509
5 1538
# BEST TD SOLUTION: 1686
