# INSTANCE: InstancesTDTSP/inst_100_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 241.49
* 0.09 46003
* 0.13 45833
* 0.75 45752
* 1 45457
* 1.45 45430
* 1.74 45352
* 1.82 45342
* 1.84 45329
* 2.25 45279
* 80.33 45258
* 94.86 45211
* 95.54 45127
* 96.43 45034
* 98.01 45033
* 98.9 44972
* 104.9 44656
* 490.34 44625
* 491.35 44617
* 493.88 44604
* 500.15 44602
* 587.38 44597
* 587.49 44583
* 587.82 44528
* 589.45 44524
* 611.99 44241
* 612.09 44226
* 613.49 44184
* 614.56 43982
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 43982
# NUMBER OF BRANCHES: 1700914
# END TIME: 856.06
## Solution: 
100
235 0
72 333
206 555
82 785
128 1156
83 1632
79 1947
168 2213
71 2434
67 2893
175 3293
171 3925
11 4201
180 4826
176 5216
172 5397
184 5943
195 6699
190 7671
212 8352
145 8863
162 9266
160 9641
150 10040
163 10491
188 10665
142 10957
141 11032
165 11395
156 11878
56 12413
60 12629
36 12883
64 13157
33 13363
228 13688
35 14159
199 14688
98 15252
95 15455
96 15933
101 16239
105 16756
87 16877
97 17172
89 17630
90 18164
102 18748
93 19090
220 19489
216 19781
118 20165
233 20382
237 20650
246 20944
29 21198
200 21611
86 22032
63 22344
149 22687
189 22848
166 23215
32 23340
65 23707
121 23989
127 24302
242 24515
243 24738
49 25027
140 25229
167 25466
42 25976
45 26293
123 26410
19 26724
23 27040
99 27306
48 27685
44 28320
27 28627
203 29163
211 29417
132 29734
66 30193
240 30654
207 31488
198 32255
197 32643
20 33195
249 33723
13 34906
239 35353
106 35609
136 36273
115 37137
2 37604
15 38101
247 38618
50 40893
133 41817
# BEST TD SOLUTION: 43982
