# INSTANCE: InstancesTDTSP/inst_100_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 245.12
* 0.08 40659
* 0.18 40612
* 0.32 40258
* 0.36 40248
* 0.41 40246
* 1.34 40146
* 1.37 40100
* 1.54 40076
* 1.62 40059
* 1.75 40045
* 1.78 39915
* 2.06 39839
* 13.1 39664
* 13.15 39646
* 13.35 39623
* 13.76 39616
* 69.8 39602
* 81.94 39600
* 82.1 39580
* 122.86 39548
* 181.43 39516
* 181.68 39493
* 182.74 39490
* 186.9 39483
* 252.13 39474
* 252.35 39426
* 252.37 39417
* 257.52 39389
* 257.68 39380
* 257.99 39316
* 262.96 39284
* 266.1 39282
* 329.07 39268
* 329.27 39240
* 330.34 39239
* 366.18 39223
* 366.43 39218
* 435.8 39213
* 439.96 39153
* 440.37 39134
* 441.83 39121
* 442.03 39103
* 442.16 39092
* 442.88 39056
* 442.93 39051
* 443.99 39046
* 444.17 38992
* 445.9 38982
* 446.04 38973
* 448.14 38893
* 448.21 38865
* 450.23 38856
* 450.7 38854
* 456.12 38826
* 460.26 38811
* 518.31 38716
* 752.92 38709
* 810.21 38700
* 811.61 38668
* 812.5 38557
* 832.86 38550
* 6926.66 38541
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 38541
# NUMBER OF BRANCHES: 19348795
# END TIME: 7445.12
## Solution: 
100
79 0
81 277
80 477
84 852
221 1254
204 1742
205 1929
82 2275
70 2623
128 2909
210 3383
74 3828
214 4061
83 4347
63 5063
53 5522
157 5798
189 6317
191 6813
126 7259
40 7567
47 7839
122 8102
61 8571
230 8817
243 9050
49 9166
58 9666
56 10078
36 10479
64 10704
125 10855
33 11380
228 11657
35 12220
51 12454
59 13036
62 13429
55 13786
92 14172
97 14581
105 14765
88 15216
133 15593
234 15999
48 16395
123 16844
220 17271
252 17585
216 18057
116 18249
86 18600
27 18878
22 19091
215 19288
118 19520
26 19790
237 20115
236 20321
246 20738
249 21336
20 21941
117 22318
89 22924
91 23353
96 23964
156 25373
163 25636
188 25832
142 25988
165 26197
164 26389
146 26810
161 27157
129 28063
72 28494
211 28853
203 29155
207 29647
16 30513
2 30770
6 30924
4 31131
1 31402
15 31866
13 32273
114 32428
108 32533
139 33166
8 33789
250 33982
184 34939
169 35441
178 35646
180 36085
172 36352
11 36840
195 37140
174 37392
208 38075
# BEST TD SOLUTION: 38541
