# INSTANCE: InstancesTDTSP/inst_100_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 234.43
* 0.1 43354
* 0.45 43339
* 1.67 43308
* 2.39 43283
* 2.66 43279
* 3.05 43230
* 3.21 43222
* 68.79 43220
* 97.36 43099
* 131.06 42956
* 152.42 42954
* 153.11 42906
* 153.15 42874
* 167.96 42643
* 168.04 42638
* 168.14 42636
* 171.03 42564
* 207.47 42512
* 211.49 42335
* 211.54 42273
* 211.57 42265
* 218.05 42165
* 233.73 42128
* 244.33 42127
* 244.71 42099
* 245.07 42097
* 246.01 42058
* 270.03 42034
* 270.36 42029
* 291.76 41942
* 292.94 41935
* 293.15 41868
* 293.17 41867
* 309.38 41866
* 310.03 41858
* 311.02 41850
* 311.44 41849
* 314.25 41842
* 317.43 41841
* 349.72 41832
* 366.29 41806
* 367.12 41657
* 368.47 41646
* 378.8 41645
* 472.45 41644
* 554.88 41634
* 555.27 41603
* 555.33 41601
* 578.87 41547
* 579.21 41538
* 581.72 41525
* 586.23 41524
* 588.54 41489
* 698.58 41487
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 41487
# NUMBER OF BRANCHES: 15226348
# END TIME: 7434.43
## Solution: 
100
243 0
49 167
140 393
38 790
122 916
47 1200
126 1428
46 1625
37 1769
167 2128
151 2583
142 2940
165 3388
164 3691
160 4029
162 4396
144 4657
147 4946
154 5150
189 5523
166 5796
155 6090
53 6507
79 6863
74 7238
77 7562
130 7887
34 8338
254 8749
31 9129
44 9577
52 9868
43 10230
61 10651
230 10971
56 11562
125 11922
232 12125
159 12593
36 13190
64 13577
135 13926
57 14064
238 14737
93 15308
102 15866
94 16187
89 16676
234 17289
219 17898
23 18171
19 18463
118 19204
215 19649
200 20092
25 20374
246 20815
20 21372
117 21578
198 22105
249 22413
132 23193
203 23634
76 23913
73 24211
204 24494
205 24773
202 25085
82 25412
226 25946
224 26681
8 27425
9 27753
250 27866
110 28132
16 28259
5 28459
14 28843
12 29093
108 29387
1 29740
0 30410
247 30709
109 30830
15 31382
194 32056
177 32226
179 32717
178 33285
171 33552
11 33871
174 34069
195 34272
212 34602
139 36082
50 37972
41 38541
96 39367
104 40059
55 40720
# BEST TD SOLUTION: 41487
