# INSTANCE: InstancesTDTSP/inst_30_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 4.55
* 0 23076
* 0.01 19791
* 0.02 19376
* 0.03 19355
* 391.42 19308
* 411.86 19163
* 411.87 19039
* 411.88 19013
* 411.9 18998
* 411.93 18892
* 411.94 18808
* 412 18689
* 412.09 18642
* 649.32 18595
* 663.48 18470
* 663.72 18455
* 663.73 18315
* 663.78 18303
* 663.78 18123
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 18123
# NUMBER OF BRANCHES: 12509652
# END TIME: 2316.14
## Solution: 
30
27 0
86 419
47 699
45 1228
219 1594
35 2532
51 2775
55 3571
90 4311
233 5498
246 6065
198 6786
207 7814
209 8582
85 9110
80 9322
170 9614
189 9917
159 10973
150 11626
153 12026
11 12743
175 13166
221 13614
225 14118
194 14624
7 15034
239 15441
17 15929
136 16700
# BEST TD SOLUTION: 18123
