# INSTANCE: InstancesTDTSP/inst_30_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 5.43
* 0.01 20388
* 0.03 20327
* 0.27 20171
* 0.3 20058
* 427.92 20044
* 430.51 19893
* 438.02 19849
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 19849
# NUMBER OF BRANCHES: 2464993
# END TIME: 623.35
## Solution: 
30
65 0
121 269
44 598
120 1024
217 1433
25 1922
253 2257
97 2962
104 3604
103 4559
50 5506
35 6176
125 6996
159 7701
146 8579
161 9047
192 9275
225 10175
18 10607
194 10975
16 11516
1 11849
201 12842
197 13579
249 14147
72 15019
202 15307
223 16296
91 18375
124 19346
# BEST TD SOLUTION: 19849
