# INSTANCE: InstancesTDTSP/inst_50_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 24.45
* 0.01 26814
* 0.02 26566
* 0.05 26331
* 0.09 26182
* 0.11 26089
* 0.62 25982
* 0.63 25968
* 0.64 25652
* 0.66 25643
* 0.7 25597
* 0.79 25506
* 11.97 25446
* 12.83 25317
* 15.51 25265
* 22.05 25262
* 22.66 25224
* 32.78 25182
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 25182
# NUMBER OF BRANCHES: 61839582
# END TIME: 7224.45
## Solution: 
50
102 0
20 526
29 909
217 1420
254 1709
86 1980
63 2385
54 2625
53 2892
168 3540
170 3851
131 4233
75 4522
85 4801
70 5329
82 5659
205 6043
76 6485
129 7030
149 7482
65 7969
43 8228
230 8630
42 9192
19 9751
36 10376
64 10780
232 11015
133 11730
97 12291
89 12807
91 13344
101 13805
98 14319
199 14886
50 15497
163 16901
188 17170
11 18270
113 19166
3 19437
14 19819
108 20163
115 20695
106 21276
239 21639
4 22107
138 22710
68 23702
236 24318
# BEST TD SOLUTION: 25182
