# INSTANCE: InstancesTDTSP/inst_50_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 29.82
* 0 178612
* 0.04 24270
* 0.33 24173
* 0.4 24138
* 0.41 24039
* 0.47 24029
* 0.52 24017
* 0.53 23935
* 0.57 23922
* 0.61 23895
* 0.66 23851
* 0.77 23812
* 1.81 23734
* 1.82 23597
* 12.07 23398
* 12.09 23355
* 12.1 23240
* 12.31 23171
* 15.81 23164
* 1019.68 23149
* 1019.98 23144
* 1020.29 23139
* 1020.3 23117
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 23117
# NUMBER OF BRANCHES: 69645061
# END TIME: 7229.82
## Solution: 
50
190 0
161 354
144 746
160 1029
164 1335
163 1556
56 1997
61 2263
39 2594
45 2926
123 3067
19 3441
124 3875
57 4636
99 5121
97 5724
95 6662
199 7612
228 8772
64 9152
24 10348
149 10753
80 11370
214 11626
69 12195
221 12443
67 12886
225 13173
18 13590
113 13861
7 14159
10 14425
16 14599
108 14810
180 15583
169 15957
182 16243
204 17084
202 17273
222 17680
68 17995
235 18569
129 18967
237 19630
233 20008
197 20662
20 21070
200 21436
253 21906
216 22153
# BEST TD SOLUTION: 23117
