# INSTANCE: InstancesTDTSP/inst_100_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 286.78
* 0.19 49615
* 1.14 49521
* 1.2 49334
* 1.48 49076
* 1.53 49023
* 1.56 48971
* 1.58 48937
* 1.66 48830
* 1.77 48712
* 1.85 48679
* 1.98 48471
* 2.02 48025
* 2.25 47739
* 2.39 47731
* 15.8 47562
* 15.84 47553
* 16.27 47232
* 17.06 47229
* 17.38 47173
* 17.79 47127
* 18.11 47117
* 18.14 47067
* 153.61 46929
* 153.97 46928
* 154.16 46892
* 154.31 46875
* 154.74 46564
* 161.47 46543
* 164.7 46539
* 202.6 46451
* 239.53 46101
* 241.02 46086
* 241.92 46079
* 242.22 46050
* 249.08 45846
* 252.11 45842
* 257.93 45806
* 305.26 45511
* 305.69 45482
* 305.76 45480
* 305.92 45444
* 306.07 45438
* 306.25 45397
* 306.4 45384
* 306.42 45234
* 306.58 45221
* 306.62 45169
* 316.64 45082
* 316.67 45012
* 318.58 45009
* 318.61 44933
* 344.17 44868
* 344.91 44857
* 432.9 44750
* 517.42 44656
* 520.79 44453
* 521.49 44446
* 521.87 44293
* 521.91 44213
* 522.26 44197
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 44197
# NUMBER OF BRANCHES: 28557245
# END TIME: 7486.79
## Solution: 
100
108 0
4 261
7 732
114 1018
239 1456
17 1856
109 2447
3 3630
13 4040
112 4325
16 4659
132 5892
241 6241
203 6751
73 7226
206 7509
78 7719
69 8103
70 8359
210 8799
79 9111
84 9524
77 10001
83 10237
157 10739
158 11054
155 11299
189 11697
54 12210
209 12919
76 13295
129 13630
208 14001
170 14257
32 14665
37 14979
49 15236
38 15401
127 15483
231 15829
243 15957
140 16212
151 16479
163 16695
160 16781
146 16969
162 17173
153 17421
161 17743
191 18212
46 18498
58 18915
123 19227
45 19350
220 19701
251 19882
253 20206
102 20637
20 21128
196 21405
89 22463
234 22871
99 23161
135 23448
48 23800
248 24256
59 24592
95 25218
96 25778
101 25966
134 26417
217 27161
121 27621
34 27905
27 28243
237 28626
236 28922
25 29145
245 29458
29 29714
26 30049
246 30470
201 30857
226 31676
67 32181
225 32469
175 32871
193 33143
171 33450
182 33889
11 34197
181 34544
199 36157
227 36932
50 37316
136 39618
139 40268
224 41981
9 43232
250 43634
# BEST TD SOLUTION: 44197
