# INSTANCE: InstancesTDTSP/inst_100_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 233.82
* 2.52 49927
* 4.34 49138
* 4.75 48962
* 23.9 48500
* 24.13 48472
* 24.43 48417
* 24.93 48415
* 25.2 48259
* 25.89 48231
* 26.03 48111
* 26.16 48061
* 26.27 47921
* 26.99 47749
* 27.11 47715
* 27.21 47642
* 27.84 47602
* 28.33 47545
* 28.39 47452
* 458.13 47222
* 458.23 47208
* 458.27 47158
* 458.41 47036
* 459.22 46834
* 459.32 46757
* 459.4 46705
* 462.93 46663
* 463.02 46662
* 479.04 46614
* 479.08 46603
* 479.61 46337
* 587.17 46334
* 652.52 46289
* 652.61 46260
* 652.77 46258
* 830.6 46233
* 831.3 46223
* 836.39 46171
* 840.88 46162
* 841.03 46147
* 841.48 46120
* 850.67 46044
* 855.91 45889
* 856.08 45885
* 877.2 45655
* 877.74 45610
* 877.85 45577
* 1001.27 45563
* 1557.85 45365
* 1557.93 45316
* 1558.2 45308
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 45308
# NUMBER OF BRANCHES: 29449802
# END TIME: 7433.83
## Solution: 
100
225 0
18 312
113 527
177 950
239 1325
6 1629
108 1855
2 2082
114 2436
250 2966
5 3475
112 3651
10 4041
111 5156
0 5617
139 6799
241 7866
209 8449
204 8680
69 9026
221 9276
85 9801
210 9972
81 10203
75 10388
168 10848
71 11046
213 11250
208 11587
166 12049
32 12403
148 12668
191 12961
47 13246
229 13482
231 13636
61 13706
230 13861
49 14214
140 14472
52 15041
45 15431
123 15649
58 15941
56 16223
248 16749
232 16981
228 17401
62 17756
55 18021
48 18340
57 18649
99 18897
105 19430
134 19648
87 19891
234 20343
220 20997
252 21094
251 21371
30 21573
217 21867
86 22141
24 22451
63 22632
187 22994
192 23426
145 23632
169 24224
179 24719
109 25846
188 27247
144 27482
44 28218
120 28720
200 29216
233 29623
25 29818
21 29975
246 30313
22 30791
129 31217
212 31814
186 32251
174 32437
11 32792
173 33030
190 33722
29 35031
197 35469
117 35996
238 36545
41 37774
50 38374
53 40189
224 41905
223 42592
226 44078
183 44753
67 44977
# BEST TD SOLUTION: 45308
