# INSTANCE: InstancesTDTSP/NewTWinstances/inst_10_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.548 12743
* 0.871 12709
* 0.888 12644
* 0.924 12179
* 0.932 11992
* 2.889 11648
* 2.905 10075
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 10075
# NUMBER OF BRANCHES: 41186
# END TIME: 6.555
## Solution: 
10
24 0
8 809
12 1438
213 2323
152 3210
38 3778
126 4154
120 4986
199 7087
158 9335
# BEST TD SOLUTION: 10075
