# INSTANCE: InstancesTDTSP/inst_20_14.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 1.74
* 0 13248
* 0.01 12850
* 0.02 12708
* 0.08 12599
* 0.09 12568
* 0.09 12394
* 0.18 12357
* 0.19 12292
* 0.19 12270
* 1.2 12244
* 28.79 12183
* 30.37 12167
* 178.98 12147
* 187.06 12146
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 12146
# NUMBER OF BRANCHES: 4122063
# END TIME: 384.55
## Solution: 
20
33 0
228 174
41 638
6 2195
108 2569
14 3057
110 3689
7 4171
113 4829
171 6230
195 6855
153 7724
155 8425
208 8927
72 9626
78 9952
128 10278
54 10799
53 10929
64 11920
# BEST TD SOLUTION: 12146
