# INSTANCE: InstancesTDTSP/inst_20_15.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 1.25
* 0 18913
* 0 14760
* 0 14640
* 0.1 14506
* 40.53 14391
* 40.53 14385
* 45.85 14270
* 46.05 14145
* 46.06 13982
* 46.07 13815
* 46.07 13779
* 46.07 13647
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 13647
# NUMBER OF BRANCHES: 1245718
# END TIME: 119.4
## Solution: 
20
234 0
119 925
200 1357
211 2030
206 2417
85 2637
226 3407
222 3934
224 4984
14 6327
247 7354
176 8805
185 9239
143 10025
145 10629
160 11063
37 11618
156 12208
124 12728
62 13290
# BEST TD SOLUTION: 13647
