# INSTANCE: InstancesTDTSP/inst_20_18.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 2.72 14224
* 5.59 14207
* 6 14106
* 8.34 14038
* 8.52 13813
* 8.97 13812
* 217.46 13666
* 217.96 13659
* 221.43 13654
* 221.91 13635
* 224.83 13581
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 13581
# NUMBER OF BRANCHES: 6004449
# END TIME: 3600.01
## Solution: 
20
202 0
221 372
81 880
131 1136
130 1397
83 1683
208 2042
189 2556
31 3437
200 4267
87 5743
98 6783
230 8157
161 9088
176 9966
172 10157
171 10555
17 11744
239 12367
9 12869
# BEST TD SOLUTION: 13581
