# INSTANCE: InstancesTDTSP/inst_30_12.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 5.74
* 0 23329
* 0 19217
* 0.01 18975
* 0.02 18253
* 0.12 17552
* 0.78 17490
* 4.06 17433
* 4.07 17346
* 4.08 17344
* 4.12 17312
* 4.21 17252
* 4.27 17152
* 4.28 17102
* 4.28 16990
* 4.31 16955
* 4.72 16931
* 5.13 16893
* 11.01 16768
* 11.58 16581
* 11.6 16487
* 11.77 16478
* 12.04 16476
* 344.31 16448
* 354.49 16379
* 355.29 16374
* 356.35 16356
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 16356
# NUMBER OF BRANCHES: 51377978
# END TIME: 3605.74
## Solution: 
30
219 0
57 392
88 827
103 1152
199 1561
33 2285
60 3137
243 3740
37 4289
150 4748
144 5275
146 5594
212 6556
174 7119
182 7513
178 7960
15 9430
1 9969
2 10378
10 10890
7 11367
13 11747
223 12628
77 13638
130 13803
81 13997
24 14471
63 14705
246 15288
200 15744
# BEST TD SOLUTION: 16356
