# INSTANCE: InstancesTDTSP/inst_30_5.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 4.58
* 0 16737
* 0 16727
* 0.01 16559
* 0.09 16510
* 0.54 16315
* 0.81 16194
* 0.82 16050
* 2.32 16049
* 2.34 15939
* 2.35 15912
* 2.35 15705
* 2.4 15669
* 2.88 15657
* 2.9 15556
* 2.9 15545
* 2.91 15444
* 2.92 15435
* 3 15427
* 3.01 15411
* 3.03 15406
* 3.08 15381
* 3.09 15266
* 3.33 15194
* 3.43 15193
* 4.35 15091
* 6.07 15031
* 6.39 15030
* 7.52 15025
* 19.39 15022
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 15022
# NUMBER OF BRANCHES: 45897328
# END TIME: 3604.58
## Solution: 
30
214 0
157 467
149 818
150 1294
192 1834
65 2399
121 2768
229 3038
123 3551
19 3898
125 4667
248 5092
59 5882
245 7413
86 7917
24 8245
129 8850
211 9528
204 9760
209 10012
132 10365
222 10886
68 11164
16 11961
178 13115
172 13258
11 13564
173 13799
213 14569
74 14956
# BEST TD SOLUTION: 15022
