# INSTANCE: InstancesTDTSP/inst_30_8.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 10.64 21328
* 17.24 21311
* 17.84 20688
* 18.55 19788
* 19.94 19771
* 23.84 19747
* 30.4 19648
* 43.77 19614
* 51.68 19598
* 165.72 19532
* 167.1 19328
* 169.29 19231
* 175.29 19209
* 176.46 19208
* 3155.08 19207
* 3158.17 19172
* 3495.99 19157
* 3496.79 19150
* 3520.9 19141
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 19141
# NUMBER OF BRANCHES: 3699831
# END TIME: 3600.04
## Solution: 
30
243 0
39 222
230 543
121 1031
191 1390
32 1708
44 2209
45 2778
248 3478
33 3895
141 5150
79 6361
81 6694
210 7000
74 7404
214 7712
211 8509
236 9271
21 9408
246 9749
223 11293
11 13010
180 13398
113 14064
112 14564
12 14967
4 15394
106 15825
0 16294
96 17742
# BEST TD SOLUTION: 19141
