# INSTANCE: InstancesTDTSP/inst_50_5.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 24.24
* 0.01 23327
* 0.05 23034
* 0.08 22971
* 0.1 22873
* 0.25 22835
* 0.63 22714
* 0.72 22619
* 1.28 22489
* 8.89 22411
* 13.48 22344
* 16.59 22224
* 16.76 22223
* 17.13 22191
* 19.82 22120
* 27.72 22076
* 27.93 22073
* 28.62 22068
* 29.23 22002
* 29.25 21990
* 32.62 21932
* 36.68 21891
* 36.83 21865
* 42.27 21854
* 44.83 21843
* 45.09 21729
* 46.4 21560
* 48.5 21516
* 53.2 21440
* 53.53 21421
* 53.79 21420
* 96.43 21372
* 96.45 21364
* 108.1 21323
* 108.21 21302
* 112.3 21280
* 112.34 21229
* 112.51 21179
* 112.76 21138
* 112.82 21125
* 112.83 21052
* 114.11 20962
* 114.8 20960
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 20960
# NUMBER OF BRANCHES: 34929109
# END TIME: 7224.24
## Solution: 
50
175 0
225 441
194 885
7 1462
112 1690
106 2299
17 2891
138 3861
139 4390
69 5884
128 6245
85 6612
74 6990
81 7134
80 7319
24 7796
40 8228
217 8784
245 9338
253 9916
93 10445
105 11059
234 11539
125 12446
56 13091
58 13474
39 13746
61 14016
242 14275
243 14473
38 14641
43 14946
229 15164
127 15508
152 16049
141 16343
163 16630
160 16784
147 17231
154 17358
192 17622
145 17851
212 18318
173 18739
195 19025
182 19379
11 19478
184 19939
172 20482
169 20568
# BEST TD SOLUTION: 20960
