50 0
206 189 0
200 158 0
164 224 0
47 156 0
225 112 0
53 251 0
212 273 0
115 189 0
4 160 0
231 177 0
192 162 0
96 228 0
129 80 0
165 179 0
86 102 0
237 260 0
66 69 0
229 274 0
202 142 0
43 240 0
89 186 0
18 206 0
3 184 0
69 266 0
199 131 0
222 283 0
162 166 0
56 174 0
34 145 0
21 88 0
6 129 0
60 287 0
122 294 0
216 124 0
107 221 0
39 146 0
220 297 0
33 225 0
143 94 0
201 90 0
98 92 0
59 213 0
236 123 0
172 132 0
83 172 0
163 63 0
109 99 0
1 148 0
29 249 0
74 223 0
