100 0
106 111 0
57 293 0
233 153 0
252 203 0
195 247 0
177 86 0
49 160 0
18 82 0
153 286 0
135 67 0
207 199 0
44 199 0
179 289 0
227 96 0
55 188 0
225 78 0
17 105 0
231 242 0
122 244 0
186 88 0
61 272 0
215 207 0
39 94 0
198 221 0
154 272 0
4 275 0
221 259 0
0 107 0
254 78 0
20 261 0
64 80 0
157 125 0
199 167 0
181 232 0
176 103 0
247 63 0
69 249 0
54 214 0
192 147 0
196 65 0
74 229 0
238 170 0
136 251 0
65 203 0
102 84 0
178 157 0
121 72 0
171 113 0
117 296 0
40 164 0
16 170 0
35 102 0
78 212 0
229 279 0
145 296 0
217 197 0
100 110 0
124 229 0
206 279 0
52 77 0
31 148 0
45 166 0
96 286 0
156 93 0
246 61 0
56 113 0
239 119 0
159 81 0
125 162 0
89 64 0
174 215 0
12 220 0
152 77 0
119 177 0
155 258 0
173 279 0
60 272 0
128 174 0
2 169 0
163 280 0
126 248 0
184 190 0
213 197 0
116 294 0
103 292 0
129 253 0
168 233 0
83 252 0
201 129 0
88 122 0
240 211 0
160 108 0
29 136 0
194 176 0
226 99 0
244 198 0
218 250 0
7 88 0
140 271 0
228 281 0
