# EXTRACTION TIME: 0.078
* 0 983
* 0 962
* 0.015 959
* 0.109 951
* 0.109 923
* 0.109 910
* 0.109 898
* 0.109 894
* 0.124 890
* 0.124 888
* 0.124 886
* 0.124 884
* 0.14 871
* 0.156 863
* 0.156 854
* 2.932 853
* 3.057 843
* 3.104 842
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 842
# NUMBER OF BRANCHES: 410259
# END TIME: 22.152
## Solution: 
20
0 0
20 247
10 267
18 284
9 322
6 348
4 372
14 420
16 468
19 493
15 514
7 551
17 565
13 575
2 598
11 617
8 645
1 670
12 696
5 724
3 749
# BEST TD SOLUTION: 842
