# EXTRACTION TIME: 0.047
* 0.016 1265
* 0.016 1262
* 0.016 1112
* 0.016 1107
* 0.016 1094
* 0.031 1083
* 0.047 1080
* 0.094 1079
* 0.109 1060
* 0.109 1049
* 0.125 1032
* 0.125 1026
* 0.14 1012
* 0.14 1011
* 0.156 992
* 0.172 989
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 989
# NUMBER OF BRANCHES: 175700
# END TIME: 6.771
## Solution: 
20
0 0
2 215
18 254
11 278
6 307
1 340
15 411
10 436
7 495
13 539
19 577
12 618
17 653
16 678
4 696
8 736
14 777
9 814
3 824
20 854
5 900
# BEST TD SOLUTION: 989
