# EXTRACTION TIME: 0.078
* 0 1314
* 0 1312
* 0 1182
* 0 1170
* 0.015 1161
* 0.046 1159
* 0.062 1158
* 0.062 1153
* 0.124 1149
* 0.14 1135
* 0.14 1133
* 0.156 1131
* 0.156 1130
* 0.156 1103
* 0.171 1100
* 0.483 1099
* 0.499 1098
* 0.499 1090
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 1090
# NUMBER OF BRANCHES: 248584
# END TIME: 12.931
## Solution: 
20
0 0
2 307
18 363
11 397
6 439
1 472
15 557
10 575
7 629
13 670
19 705
12 744
17 777
16 800
4 818
8 856
14 897
9 931
3 941
20 971
5 1014
# BEST TD SOLUTION: 1090
