# EXTRACTION TIME: 0.106
* 0.001 1142
* 0.009 1095
* 0.013 1092
* 0.017 1084
* 0.039 1077
* 0.272 1066
* 0.285 1058
* 0.293 1052
* 0.581 1048
* 0.596 994
* 0.623 992
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 992
# NUMBER OF BRANCHES: 466349
# END TIME: 30.108
## Solution: 
25
0 0
1 243
10 260
16 295
7 323
12 345
24 366
4 405
6 439
13 478
19 498
15 546
23 563
17 599
8 608
25 629
21 638
9 655
11 691
2 704
14 760
22 800
3 828
5 866
20 874
18 891
# BEST TD SOLUTION: 992
