# EXTRACTION TIME: 0.121
* 0.001 1212
* 0.01 1172
* 0.015 1115
* 0.02 1109
* 0.07 1100
* 0.084 1095
* 0.098 1093
* 0.111 1089
* 0.129 1088
* 0.139 1075
* 0.16 1066
* 0.171 1065
* 0.606 1062
* 0.634 1056
* 0.687 1054
* 0.693 1053
* 0.71 1042
* 11.86 1039
* 13.002 1036
* 13.986 1028
* 14.782 1022
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1022
# NUMBER OF BRANCHES: 405174
# END TIME: 30.123
## Solution: 
25
0 0
2 282
19 310
24 324
15 358
16 450
13 464
14 497
25 520
11 539
20 565
8 598
5 618
22 652
3 671
9 696
17 717
4 743
21 761
12 786
23 805
10 828
6 850
1 874
18 895
7 931
# BEST TD SOLUTION: 1022
