# EXTRACTION TIME: 0.15
* 0.002 1157
* 0.003 1145
* 0.005 1141
* 0.008 1140
* 0.014 1124
* 0.043 1109
* 0.217 1108
* 0.229 1105
* 0.231 1102
* 0.26 1101
* 0.265 1092
* 4.182 1091
* 12.896 1089
* 13.022 1087
* 15.61 1085
* 15.792 1084
* 16.104 1083
* 20.585 1082
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1082
# NUMBER OF BRANCHES: 823973
# END TIME: 30.154
## Solution: 
30
0 0
25 237
30 250
3 273
14 303
11 327
29 347
17 367
6 389
2 410
10 430
22 458
28 483
27 518
15 561
1 575
23 611
20 618
5 636
26 662
7 689
9 711
13 749
18 769
21 791
24 826
16 848
12 870
4 890
19 919
8 996
# BEST TD SOLUTION: 1082
