# EXTRACTION TIME: 0.19
* 0.002 1513
* 0.012 1436
* 0.127 1422
* 0.139 1409
* 0.145 1387
* 0.155 1386
* 0.177 1381
* 2.871 1378
* 3.76 1367
* 3.863 1366
* 4.015 1364
* 4.192 1362
* 5.452 1358
* 5.785 1357
* 8.255 1353
* 8.35 1348
* 56.872 1345
* 76.242 1343
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1343
# NUMBER OF BRANCHES: 43520100
# END TIME: 3600.2
## Solution: 
30
0 0
14 295
13 341
23 423
22 522
16 556
26 586
17 617
1 651
21 673
10 704
19 728
8 747
2 763
24 794
27 819
30 829
25 840
7 876
3 991
29 1012
12 1046
15 1065
6 1084
9 1127
20 1162
18 1195
11 1204
4 1225
5 1265
28 1281
# BEST TD SOLUTION: 1343
