# EXTRACTION TIME: 0.222
* 0.001 1454
* 0.008 1427
* 0.012 1399
* 0.017 1387
* 0.042 1333
* 0.33 1288
* 0.337 1286
* 0.347 1270
* 0.365 1262
* 0.409 1259
* 0.447 1256
* 0.469 1241
* 0.519 1228
* 0.542 1217
* 0.613 1180
* 0.663 1160
* 0.677 1156
* 0.727 1155
* 0.745 1150
* 3.16 1137
* 3.719 1135
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1135
# NUMBER OF BRANCHES: 510727
# END TIME: 30.228
## Solution: 
30
0 0
25 225
9 243
2 255
20 274
14 288
7 315
27 342
30 375
22 407
21 477
5 514
17 532
11 558
28 598
26 625
15 651
3 676
1 733
24 747
6 776
16 810
29 832
23 853
4 874
12 896
13 914
19 923
10 959
18 1007
8 1034
# BEST TD SOLUTION: 1135
