# EXTRACTION TIME: 0.294
* 0.003 926
* 0.004 914
* 0.016 895
* 0.019 886
* 0.046 882
* 0.128 880
* 0.462 878
* 0.513 875
* 0.519 874
* 0.528 866
* 0.53 853
* 0.553 852
* 0.601 851
* 0.655 844
* 0.669 843
* 1.177 841
* 3.468 839
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 839
# NUMBER OF BRANCHES: 93465446
# END TIME: 3600.3
## Solution: 
35
0 0
11 27
20 57
2 83
3 109
16 137
7 169
27 203
25 257
17 295
15 309
26 351
19 372
13 404
8 422
10 451
33 463
12 496
29 517
18 541
5 560
28 579
6 607
24 635
35 661
22 686
31 708
23 721
30 734
14 752
32 765
9 780
1 793
21 804
4 816
34 827
# BEST TD SOLUTION: 839
