# EXTRACTION TIME: 0.236
* 0.003 864
* 0.016 854
* 0.032 851
* 0.116 848
* 0.172 843
* 0.178 832
* 0.656 828
* 0.775 826
* 0.809 825
* 0.811 824
* 4.6 823
* 9.331 821
* 9.718 820
* 12.887 819
* 18.977 817
* 18.987 815
* 19.164 814
* 21.066 813
* 22.664 812
* 24.153 810
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 810
# NUMBER OF BRANCHES: 652595
# END TIME: 30.241
## Solution: 
35
0 0
33 21
32 45
5 73
11 97
27 123
3 152
17 174
34 195
9 231
30 274
23 307
29 330
4 358
21 387
15 417
7 444
19 464
18 486
26 503
35 520
1 537
22 563
24 577
25 598
14 615
31 638
8 660
20 677
13 698
16 717
12 745
2 761
10 774
6 786
28 799
# BEST TD SOLUTION: 810
