# EXTRACTION TIME: 0.307
* 0.002 1042
* 0.004 1033
* 0.005 1032
* 0.008 1031
* 0.012 1015
* 0.023 1004
* 0.165 1002
* 0.197 993
* 0.208 990
* 0.319 989
* 0.905 987
* 0.928 981
* 0.972 980
* 4.865 977
* 5.492 976
* 5.506 975
* 5.58 973
* 5.65 972
* 5.66 971
* 5.986 970
* 6.415 969
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 969
# NUMBER OF BRANCHES: 609092
# END TIME: 30.314
## Solution: 
35
0 0
21 61
24 103
25 118
6 157
2 171
11 222
35 252
27 295
32 323
10 343
23 355
33 375
34 388
17 418
15 449
8 486
29 513
14 545
4 563
19 589
9 612
1 636
5 676
31 704
3 721
7 736
16 760
28 769
26 801
30 811
20 832
18 862
22 894
13 928
12 941
# BEST TD SOLUTION: 969
