# EXTRACTION TIME: 0.28
* 0.003 1684
* 0.007 1521
* 0.019 1467
* 0.037 1456
* 0.045 1439
* 0.16 1430
* 0.189 1417
* 0.201 1411
* 0.21 1408
* 0.386 1407
* 5.189 1405
* 5.457 1400
* 5.458 1399
* 5.476 1390
* 5.583 1389
* 5.701 1385
* 5.751 1381
* 5.808 1378
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1378
# NUMBER OF BRANCHES: 503347
# END TIME: 30.291
## Solution: 
35
0 0
12 24
22 43
14 65
2 88
7 115
34 135
5 156
30 208
19 265
35 355
11 389
3 415
24 462
26 513
13 580
9 636
1 712
31 738
18 784
15 805
27 841
8 849
33 890
21 964
10 1005
23 1036
16 1060
28 1144
4 1180
6 1217
20 1305
29 1326
32 1343
25 1354
17 1366
# BEST TD SOLUTION: 1378
