# EXTRACTION TIME: 0.282
* 0.004 1072
* 0.025 1064
* 0.074 1057
* 0.329 1053
* 0.377 1050
* 0.413 1026
* 0.44 1019
* 0.459 1011
* 0.51 1003
* 0.548 1002
* 0.62 995
* 1.243 986
* 1.296 975
* 1.31 970
* 1.381 964
* 1.401 963
* 5.449 961
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 961
# NUMBER OF BRANCHES: 604477
# END TIME: 30.289
## Solution: 
35
0 0
18 30
35 68
12 103
1 156
30 212
7 227
3 254
25 295
13 322
24 347
16 374
34 428
9 446
22 485
20 504
32 520
11 539
28 561
33 579
2 597
23 634
5 668
21 687
29 702
10 719
4 740
14 752
27 763
6 787
17 821
31 839
26 853
15 885
8 906
19 944
# BEST TD SOLUTION: 961
