# EXTRACTION TIME: 0.329
* 0.002 1418
* 0.004 1391
* 0.014 1373
* 0.018 1357
* 0.027 1348
* 0.058 1347
* 0.061 1346
* 0.072 1343
* 0.1 1338
* 0.133 1337
* 0.228 1334
* 0.262 1333
* 0.272 1332
* 1.107 1330
* 1.147 1325
* 1.158 1324
* 1.176 1321
* 1.193 1320
* 1.292 1315
* 1.316 1312
* 1.409 1311
* 1.479 1308
* 1.485 1304
* 1.66 1301
* 6.239 1300
* 8.472 1298
* 8.64 1296
* 8.894 1295
* 9.286 1294
* 10.972 1291
* 11.451 1288
* 16.698 1287
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1287
# NUMBER OF BRANCHES: 529372
# END TIME: 30.337
## Solution: 
40
0 0
37 249
13 265
10 277
15 302
26 322
11 345
3 370
4 390
38 410
18 430
29 451
2 477
12 497
35 517
22 537
20 562
31 606
40 639
21 659
9 681
7 702
1 723
24 743
32 774
19 793
8 815
5 841
27 877
33 904
36 924
28 965
30 990
23 1017
34 1036
39 1058
16 1109
25 1127
17 1146
14 1170
6 1196
# BEST TD SOLUTION: 1287
