# EXTRACTION TIME: 0.321
* 0.004 1330
* 0.007 1300
* 0.03 1293
* 0.036 1271
* 0.044 1258
* 0.071 1256
* 0.086 1245
* 0.091 1240
* 0.105 1232
* 0.198 1227
* 0.322 1226
* 0.331 1225
* 0.346 1224
* 0.347 1221
* 0.397 1217
* 0.441 1213
* 0.459 1208
* 0.549 1205
* 5.908 1203
* 7.454 1202
* 7.469 1196
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1196
# NUMBER OF BRANCHES: 510829
# END TIME: 30.328
## Solution: 
40
0 0
37 249
13 265
10 277
24 303
1 324
7 345
9 367
15 388
26 408
11 431
3 456
4 476
38 496
18 516
29 537
2 563
22 584
35 602
12 618
20 636
31 670
40 696
21 712
8 732
19 749
32 764
5 785
27 813
33 834
36 850
28 882
30 902
23 924
34 939
39 956
16 996
25 1014
17 1029
14 1048
6 1075
# BEST TD SOLUTION: 1196
